# index   relaxed_energy_eV
0.000000000000000000e+00 -4.770873183132154622e+02
1.000000000000000000e+00 -4.771319397579957808e+02
2.000000000000000000e+00 -1.431000810410688246e+03
3.000000000000000000e+00 -1.425395129332612669e+03
4.000000000000000000e+00 -1.427026008313321881e+03
5.000000000000000000e+00 -1.423043079159191620e+03
6.000000000000000000e+00 -1.423066044831134832e+03
7.000000000000000000e+00 -1.423125281842599634e+03
8.000000000000000000e+00 -4.718333315173056803e+02
9.000000000000000000e+00 -2.353068269962032844e+02
1.000000000000000000e+01 -4.729658673104722197e+02
1.100000000000000000e+01 -4.766290868102616400e+02
1.200000000000000000e+01 -4.766566311147697661e+02
1.300000000000000000e+01 -1.418377842663809133e+03
1.400000000000000000e+01 -4.738285140562167044e+02
1.500000000000000000e+01 -1.351475848315390976e+03
1.600000000000000000e+01 -1.600366978584220533e+03
1.700000000000000000e+01 -8.070457699262409506e+02
