# index   relaxed_energy_eV
0.000000000000000000e+00 -4.769639496733312853e+02
1.000000000000000000e+00 -4.770072892145391279e+02
2.000000000000000000e+00 -1.430624225080974156e+03
3.000000000000000000e+00 -1.424995868031867758e+03
4.000000000000000000e+00 -1.426638402299538484e+03
5.000000000000000000e+00 -1.422597585734311451e+03
6.000000000000000000e+00 -1.422627599054816528e+03
7.000000000000000000e+00 -1.422694585541636116e+03
8.000000000000000000e+00 -4.716670579798199014e+02
9.000000000000000000e+00 -2.352265500013384951e+02
1.000000000000000000e+01 -4.728344060025361273e+02
1.100000000000000000e+01 -4.722809706660980851e+02
1.200000000000000000e+01 -4.765374728079318629e+02
1.300000000000000000e+01 -1.418037645899722293e+03
1.400000000000000000e+01 -4.737155665886513702e+02
1.500000000000000000e+01 -1.351113779907531580e+03
1.600000000000000000e+01 -1.598722368018433599e+03
1.700000000000000000e+01 -8.067321612962483641e+02
