# index   relaxed_energy_eV
0.000000000000000000e+00 -4.770731362629481964e+02
1.000000000000000000e+00 -4.771178330347616452e+02
2.000000000000000000e+00 -1.430958162288619633e+03
3.000000000000000000e+00 -1.425347647125817275e+03
4.000000000000000000e+00 -1.426979403746735215e+03
5.000000000000000000e+00 -1.422991456495921966e+03
6.000000000000000000e+00 -1.423015038253430021e+03
7.000000000000000000e+00 -1.423075042572552775e+03
8.000000000000000000e+00 -4.718141151628031480e+02
9.000000000000000000e+00 -2.352971937287928768e+02
1.000000000000000000e+01 -4.729498189140069826e+02
1.100000000000000000e+01 -4.724000011401704455e+02
1.200000000000000000e+01 -4.766423638905925486e+02
1.300000000000000000e+01 -1.418338035275585753e+03
1.400000000000000000e+01 -4.738153995865675938e+02
1.500000000000000000e+01 -1.351432847415680499e+03
1.600000000000000000e+01 -1.600328854970393422e+03
1.700000000000000000e+01 -8.070088099616638146e+02
