# index   relaxed_energy_eV
0.000000000000000000e+00 -4.770270806352356772e+02
1.000000000000000000e+00 -4.770724551339076243e+02
2.000000000000000000e+00 -1.430820297795922670e+03
3.000000000000000000e+00 -1.425189025291844700e+03
4.000000000000000000e+00 -1.426828797188050885e+03
5.000000000000000000e+00 -1.422824980740222372e+03
6.000000000000000000e+00 -1.422850589273894911e+03
7.000000000000000000e+00 -1.422913599920358138e+03
8.000000000000000000e+00 -4.717478527269238384e+02
9.000000000000000000e+00 -2.352644559795050725e+02
1.000000000000000000e+01 -4.728968967474767169e+02
1.100000000000000000e+01 -4.723480655388288483e+02
1.200000000000000000e+01 -4.765963631527382063e+02
1.300000000000000000e+01 -1.418207603661718395e+03
1.400000000000000000e+01 -4.737725906339879884e+02
1.500000000000000000e+01 -1.351249399468697447e+03
1.600000000000000000e+01 -1.599164074234142618e+03
1.700000000000000000e+01 -8.068888458494913039e+02
